id,gender,age,binges,totdrinks,tothours,0,0.25,0.5,1,1.5,2,2.5,3,4,5,6,7,8,9,10,15,20
1,Male,37,3,18,12,10,10,10,10,10,10,10,10,8,7,6,6,5,4,3,2,1
2,Male,64,0,14,28,5,5,5,5,5,5,5,4,3,2,1,1,0,0,0,0,0
3,Male,38,6,14,8,10,10,10,10,10,10,9,8,7,6,5,3,2,1,1,1,0
4,Male,54,1,11,11,6,6,6,6,6,5,5,3,3,2,2,2,1,1,1,1,0
5,Male,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Male,36,4,16,10,8,8,8,8,8,8,8,6,6,4,3,3,2,2,0,0,0
7,Male,25,0,0,0,5,5,5,5,5,3,3,3,2,2,2,1,1,1,1,0,0
8,Male,23,0,8,6,6,6,6,6,6,6,5,5,4,3,2,2,2,1,1,0,0
9,Male,24,1,20,19,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
10,Male,45,3,16,16,8,8,8,8,8,8,8,6,5,3,2,2,1,0,0,0,0
11,Male,25,10,12,19,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0
12,Male,27,0,6,3,5,5,5,5,5,4,4,4,3,3,2,1,1,0,0,0,0
13,Male,35,2,6,4,5,5,5,5,5,5,4,4,3,2,1,1,0,0,0,0,0
14,Male,33,2,14,9,12,8,6,5,4,3,3,2,1,1,0,0,0,0,0,0,0
15,Male,21,1,4,4,8,6,6,6,6,6,6,6,4,4,0,0,0,0,0,0,0
16,Male,30,0,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0
17,Male,31,2,22,18,12,12,10,8,6,5,4,3,2,1,0,0,0,0,0,0,0
18,Male,24,3,12,10,12,12,10,10,10,8,8,7,6,5,4,3,3,2,2,1,0
19,Male,36,3,3,3,6,6,6,6,6,6,6,6,2,2,2,1,1,1,0,0,0
20,Male,28,6,12,13,12,11,10,9,8,8,8,8,8,7,7,6,5,4,1,0,0
21,Male,36,3,11,7,5,5,5,4,3,3,3,3,2,2,1,1,0,0,0,0,0
22,Male,25,0,0,0,50,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Male,39,1,14,9,12,11,10,9,8,7,7,6,6,5,5,4,4,3,2,1,0
24,Male,24,3,11,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Male,38,0,9,11,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0
26,Male,29,2,4,4,6,6,6,6,6,6,6,6,4,3,2,1,0,0,0,0,0
27,Male,34,0,5,9,4,4,4,4,4,3,3,2,2,2,1,1,1,1,0,0,0
28,Male,35,1,7,7,15,15,15,15,15,15,15,10,10,10,8,7,6,5,5,3,2
29,Male,28,2,10,10,5,5,5,5,4,4,3,3,2,2,1,1,1,0,0,0,0
30,Male,45,0,0,0,8,8,8,8,6,5,4,3,2,0,0,0,0,0,0,0,0
31,Male,26,5,42,24,12,12,12,12,10,10,8,6,6,5,4,4,3,3,2,1,0
32,Male,38,0,3,3,5,4,4,3,3,3,2,2,1,1,1,0,0,0,0,0,0
33,Male,28,8,12,8,8,8,8,8,8,8,6,6,5,4,6,2,2,1,0,0,0
34,Male,25,0,1,1,3,3,3,3,3,2,2,1,0,0,0,0,0,0,0,0,0
35,Male,26,0,0,0,5,5,5,3,3,2,2,2,1,1,0,0,0,0,0,0,0
36,Male,25,0,0,0,10,10,10,10,10,10,10,8,6,5,5,4,4,3,3,2,1
37,Male,23,0,3,3,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0
38,Male,64,0,2,2,5,5,5,5,4,4,4,3,2,2,1,1,1,1,1,1,1
39,Male,24,4,5,13,10,10,10,10,10,8,8,6,5,4,3,3,2,2,2,1,1
40,Male,32,0,18,11,6,5,5,5,4,4,3,3,2,1,0,0,0,0,0,0,0
41,Male,45,0,4,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Male,43,5,29,29,10,10,10,10,9,9,8,7,7,6,5,5,4,4,3,2,1
43,Male,27,0,6,6,8,8,8,8,7,7,7,6,5,4,3,3,2,2,2,1,1
44,Male,35,0,2,3,7,7,7,7,7,7,5,3,2,2,1,0,0,0,0,0,0
45,Male,47,2,14,7,6,6,6,6,6,6,5,5,5,5,4,4,4,3,3,2,1
46,Male,27,5,5,6,5,5,5,5,4,3,2,2,1,1,0,0,0,0,0,0,0
47,Male,41,15,30,11,10,10,10,10,10,10,8,8,6,4,4,4,3,2,1,1,1
48,Male,31,3,9,8,15,12,11,10,7,6,5,5,4,3,2,2,1,1,0,0,0
49,Male,18,0,5,3,4,4,4,4,3,2,2,2,2,2,0,0,0,0,0,0,0
50,Male,28,2,1,2,20,10,10,10,5,5,5,5,5,2,2,2,1,1,1,1,1
51,Male,21,4,10,6,5,5,5,5,5,5,5,5,5,5,5,4,0,0,0,0,0
52,Male,21,6,16,17,6,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0
53,Male,23,0,0,0,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0
54,Male,36,1,4,3,7,7,7,7,7,7,7,7,5,5,4,4,4,4,4,0,0
55,Male,38,0,0,0,8,8,8,8,8,8,8,6,5,5,5,4,3,3,2,1,1
56,Male,70,0,6,9,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,1
57,Male,26,1,11,7,6,6,6,6,6,5,5,5,4,4,4,3,3,2,2,1,1
58,Male,27,0,8,11,4,4,4,4,4,4,4,4,4,3,3,2,2,2,1,1,1
59,Male,24,2,18,18,10,10,10,10,8,7,7,8,7,7,5,2,0,0,0,0,0
60,Male,74,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,1,1
61,Male,44,3,67,27,2,2,22,2,2,2,2,2,2,2,2,2,2,2,2,2,2
62,Male,34,0,3,2,6,6,6,6,6,6,6,6,5,5,4,4,4,3,3,2,2
63,Male,33,5,23,10,4,4,4,4,4,4,4,4,4,4,3,3,2,2,1,0,0
64,Male,31,0,3,5,8,8,8,8,8,7,7,6,5,5,5,5,5,4,4,4,3
65,Male,27,4,6,6,12,12,12,12,12,12,12,10,6,5,3,2,2,2,2,1,1
66,Male,22,1,6,3,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0
67,Male,31,1,4,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
68,Male,35,0,21,14,10,9,8,7,6,5,5,5,5,3,2,1,0,0,0,0,0
69,Male,44,2,18,9,20,20,20,20,20,10,10,9,8,7,7,6,5,3,2,2,1
70,Male,34,0,4,3,12,12,12,12,10,8,8,6,5,4,3,3,2,1,1,0,0
71,Male,36,0,7,9,3,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0
72,Male,30,1,14,5,10,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
73,Male,31,2,15,9,5,5,5,5,5,5,5,5,5,4,4,3,3,2,2,1,1
74,Male,34,3,34,15,2,3,5,2,2,4,5,5,0,0,0,0,0,0,0,0,1
75,Male,29,4,18,17,3,5,2,7,4,2,9,7,2,6,9,2,6,2,5,2,7
76,Male,33,0,9,11,4,4,4,4,4,4,3,3,2,1,0,0,0,0,0,0,0
77,Male,25,2,17,9,5,5,3,3,3,2,2,2,2,2,1,2,2,0,0,0,0
78,Male,52,0,5,7,5,5,5,5,5,5,5,5,5,5,4,4,3,2,2,1,0
79,Male,30,5,13,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,2,2
80,Male,53,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Male,54,4,10,7,10,10,10,10,10,10,10,10,7,6,5,4,0,0,0,0,0
82,Male,28,1,4,3,20,18,17,14,12,10,8,7,6,5,4,4,3,3,2,1,1
83,Male,37,0,9,7,5,5,5,5,5,5,5,4,4,0,0,0,0,0,0,0,0
